name,qualifications,preference_days_count,preference_machines,preference_days
worker1,1,19,3,6-15-18-9-3-8-4
worker2,5,14,2,11-19-17-12-5-1-18-2-0-8
worker3,1,16,2,8-19-2-17-15
worker4,2,18,2,12-4-10-8-14-0
worker5,3,14,1,19-10-18-1-7-13
worker6,3,16,0,6-7-1-10-4-18-0-19
worker7,3,11,1,5-16-14-2-9
worker8,3,13,2,4-11-10-1-19-13-7-0
worker9,3,14,0,13-12-14-8-10-17-9-18-6-15
worker10,3,13,3,3-6-2-10-4-12-5-11
worker11,4,16,3,15-3-11-13-9-5-16-18
worker12,4,15,0,11-9-5-8-1
worker13,5,20,0,7-18-0-4-5-17-14-9-19
worker14,1,12,4,19-15-0-4-6-8-7
worker15,4,15,3,15-11-17-13-16-0
worker16,2,11,0,7-3-5-18-6-16-19
