name,qualifications,preference_days_count,preference_machines,preference_days
worker1,7,13,0,11-13-2-6-0-12
worker2,2,14,6,6-12-17-3-16
worker3,2,17,6,11-18-14-7-12-16-3-8-0
worker4,2,16,2,17-15-9-4-1-6-3-11-16
worker5,6,17,0,5-18-12-4-13-3
worker6,4,19,6,6-12-7-18-16-11-1-13-9-4
worker7,7,20,2,13-11-18-5-14-6-17-3-10-8
worker8,4,11,3,0-11-15-17-1
worker9,6,11,6,2-10-17-16-14-13-18-7
worker10,4,16,3,6-15-19-7-11-4
worker11,7,12,1,10-16-3-8-13-6-12-5-4-0
worker12,6,16,5,2-17-8-15-0-7
worker13,5,16,3,12-2-11-13-17-16-4-0
worker14,5,17,3,0-16-3-4-9-7-13
worker15,7,17,3,9-16-15-14-12-7-13-3-11
worker16,7,19,4,6-8-13-4-3-16
worker17,2,14,3,16-3-14-9-2-13
worker18,5,16,5,8-17-3-0-6-1-7-4-5
worker19,5,18,5,11-13-1-12-10-3-5-15
worker20,2,19,1,11-1-14-9-4-8-0-5
worker21,4,20,1,8-15-19-9-7-6
worker22,5,13,1,9-2-0-14-4-8-19
worker23,4,11,6,19-11-5-17-7-12-2
worker24,4,11,2,13-4-1-5-9
worker25,1,14,1,0-18-3-17-15
